"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NZKYKHIZ","journalArticle","2014","Wendler, Frank","Justification and political polarization in national parliamentary debates on EU treaty reform","Journal of European Public Policy","","1350-1763","10.1080/13501763.2014.882388","https://doi.org/10.1080/13501763.2014.882388","National parliaments are arenas both for the discursive justification of European integration and its party political contestation. This article harnesses a discourse theoretical framework to investigate the links between both dimensions in debates about the revision of the EU treaties in the parliaments of four member states (Austria, France, Germany and the United Kingdom). Two arguments are proposed: first, a distinction between discursive perspectives and related mobilizing arguments helps to disentangle different thematic layers of debate, characterised as ‘problem-solving debates’ on the effectiveness of political action in the EU, ‘directional debates’ about the substantive goals of EU governance, and ‘legitimacy debates’ about the compatibility of supranational institutions with domestic democracy. Second, the empirical data show that each of these debates is linked to characteristic patterns of polarization along institutional and party political divides, adding fresh insights for the literature on party politics and public debate about European integration.","2014-04-21","2018-11-27 16:06:04","2018-11-27 16:06:04","2018-11-27 16:06:03","549-567","","4","21","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/SDKM8GDR/Wendler - 2014 - Justification and political polarization in nation.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/23PRMJX8/13501763.2014.html","","","Discourse theory; EU Treaty reform; Europeanization; national parliaments; party politics; politicization.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4JXQWZ94","journalArticle","2017","Doray-Demers, Pascal; Foucault, Martial","The politics of fiscal rules within the European Union: a dynamic analysis of fiscal rules stringency","Journal of European Public Policy","","1350-1763","10.1080/13501763.2017.1296883","https://doi.org/10.1080/13501763.2017.1296883","Over the last 25 years, fiscal rules (FRs) have been proliferating in Europe bringing in-depth change to the architecture of fiscal institutions. This paper investigates different theories explaining the changes in national fiscal rules stringency (FRS) using a panel of 28 European countries from 1990 to 2013. The authors found evidence that fiscal stress prevents fiscal reform in the short term, and leads to stronger fiscal rules in the long term. This pattern corresponds to the ‘war of attrition’ argument formulated by Alesina and Drazen [(1989) ‘Why are stabilizations delayed?’, The American Economic Review 81(5): 1170–88]. The authors found evidence that countries eager to join the EU showed their commitment to Maastricht targets by incorporating FRs into national laws. Countries facing financial difficulties after the 2009 sovereign debt crisis were coerced into adopting more stringent FRs to obtain fiscal support from the EU. Both cases support the idea that coercive diplomacy might explain the strength of national fiscal rules in the EU.","2017-06-17","2018-11-27 16:07:01","2018-11-27 16:07:01","2018-11-27 16:07:01","852-870","","6","24","","","The politics of fiscal rules within the European Union","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/3YFFJQWK/Doray-Demers and Foucault - 2017 - The politics of fiscal rules within the European U.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/APL6XINA/13501763.2017.html","","","Coercion; diffusion; fiscal rules; fiscal stabilization; government deficits; political economy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"URB9KJ6Y","journalArticle","2017","Roederer-Rynning, Christilla; Greenwood, Justin","The European Parliament as a developing legislature: coming of age in trilogues?","Journal of European Public Policy","","1350-1763","10.1080/13501763.2016.1184297","https://doi.org/10.1080/13501763.2016.1184297","This article examines the institutionalization of the European Parliament-as-a-legislature. It draws on the political development scholarship to conceptualize institutionalization and highlight the role of the environment in the development and decay of political institutions. On this premise, we argue that the political significance of the European Parliament (EP) depends on its capacity to develop strong institutions enabling it to ‘exist apart’ from its environment. We identify the embrace of codecision as a critical moment of the institutionalization of the EP-as-a-legislature and explore the value of the political development perspective in a comparative-historical study of trilogues in the EP. We present a typology of institutionalization of trilogues and argue that a model of generic parliamentary approach to trilogues is taking roots. While substantiating the thesis of the EP as a potentially autonomous institution, our findings also call for research into the resilience and sources of institutional patterns of trilogues.","2017-05-14","2018-11-27 16:07:49","2018-11-27 16:07:49","2018-11-27 16:07:49","735-754","","5","24","","","The European Parliament as a developing legislature","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/VXIZSDM7/Roederer-Rynning and Greenwood - 2017 - The European Parliament as a developing legislatur.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/Q6IXLSP5/13501763.2016.html","","","European Parliament; legislature; political development; trilogues","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47TQKG8K","journalArticle","2016","Tallberg, Jonas; Sommerer, Thomas; Squatrito, Theresa; Lundgren, Magnus","The performance of international organizations: a policy output approach","Journal of European Public Policy","","1350-1763","10.1080/13501763.2016.1162834","https://doi.org/10.1080/13501763.2016.1162834","Many problems confronting today’s societies are transnational in character, leading states to increasingly rely on international organizations (IOs) for policy solutions. Yet, the performance of IOs varies extensively. This contribution suggests that systematic, comparative research is required to advance our understanding of IO performance, and that a policy output approach offers particular advantages for that purpose. This approach privileges the results IOs produce in terms of policies, and is distinct from the main alternative approaches to IO performance, emphasizing either behavioural change by targets (policy outcome) or problem-solving effectiveness (policy impact). The contribution introduces a typology that captures five generic features of policy – volume, orientation, type, instrument and target – and explains how these dimensions may be used to map the output and assess the performance of IOs. The contribution concludes by discussing what methods and theories may be most useful in explaining policy output, as the research agenda on IO performance advances.","2016-08-08","2018-11-27 16:09:17","2018-11-27 16:09:17","2018-11-27 16:09:17","1077-1096","","7","23","","","The performance of international organizations","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/9YFWGYRZ/Tallberg et al. - 2016 - The performance of international organizations a .pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/AM89Z63R/13501763.2016.html","","","Effectiveness; global governance; international organization; output; performance; policy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"536BE9KP","journalArticle","2015","Eising, Rainer; Rasch, Daniel; Rozbicka, Patrycja","Institutions, policies, and arguments: context and strategy in EU policy framing","Journal of European Public Policy","","1350-1763","10.1080/13501763.2015.1008552","https://doi.org/10.1080/13501763.2015.1008552","Studies of framing in the EU political system are still a rarity and they suffer from a lack of systematic empirical analysis. Addressing this gap, we ask if institutional and policy contexts intertwined with the strategic side of framing can explain the number and types of frames employed by different stakeholders. We use a computer-assisted manual content analysis and develop a fourfold typology of frames to study the frames that were prevalent in the debates on four EU policy proposals within financial market regulation and environmental policy at the EU level and in Germany, Sweden, the Netherlands and the United Kingdom. The main empirical finding is that both contexts and strategies exert a significant impact on the number and types of frames in EU policy debates. In conceptual terms, the article contributes to developing more fine-grained tools for studying frames and their underlying dimensions.","2015-04-21","2018-11-27 16:10:11","2018-11-27 16:10:11","2018-11-27 16:10:11","516-533","","4","22","","","Institutions, policies, and arguments","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/ANWBM9XM/Eising et al. - 2015 - Institutions, policies, and arguments context and.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/SPUP8FEL/13501763.2015.html","","","Context; EU multi-level political system; framing; interest groups; multi-level; strategic action","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQZR3NRE","journalArticle","2017","Thomann, Eva; Sager, Fritz","Toward a better understanding of implementation performance in the EU multilevel system","Journal of European Public Policy","","1350-1763","10.1080/13501763.2017.1314542","https://doi.org/10.1080/13501763.2017.1314542","The results of this collection allow for preliminary conclusions about the nuanced interplay between Europeanization and domestication forces in European Union (EU) implementation, which await testing in different contexts. Some policies lend themselves more to a strategy allowing for extensive domestication than others; but to be effective, decentralized implementing actors need both power and capabilities. Europeanization dynamics strongly influence the direction of domestication of EU policy, but if EU requirements are incompatible with national political preferences domestication trumps Europeanization. Domestication equally prevails if the relationship between EU and national policy is ambiguous and frontline implementers have high discretion. The trend toward the Europeanization of direct EU enforcement challenges its legitimacy. This has implications for EU researchers and practitioners, and suggests methodological challenges and future research trajectories for a performance perspective on EU implementation. More comparative research is needed about the trade-offs between conformance, diversity, and performance in EU multilevel governance.","2017-09-24","2018-11-27 16:10:55","2018-11-27 16:10:55","2018-11-27 16:10:55","1385-1407","","9","24","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/9FL2SCK2/Thomann and Sager - 2017 - Toward a better understanding of implementation pe.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/XG59XNEB/13501763.2017.html","","","Decentralized implementation; discretion; domestication; EU legitimacy; Europeanization; multilevel governance; performance perspective","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D73LDIF2","journalArticle","2016","Eckhard, Steffen; Ege, Jörn","International bureaucracies and their influence on policy-making: a review of empirical evidence","Journal of European Public Policy","","1350-1763","10.1080/13501763.2016.1162837","https://doi.org/10.1080/13501763.2016.1162837","Although we find considerable literature on international organizations and their bureaucratic interior, there has been little effort to systematically synthesize empirical research across the different academic disciplines examining how international bureaucracies affect policy-making at an international level. This contribution reviews existing research on the policy influence of international bureaucracies published during the past 50 years. Applying a keyword-based search strategy allows us to identify a core body of 83 books and articles. We find a general consensus in the literature that international bureaucrats do influence policy-making, though this influence varies with the political salience and scope of the decision at question. Yet there is still much disagreement about other context factors, including mechanisms and behavioural assumptions. The contribution advances the state of the art by extracting major disputes – mostly linked to diverging disciplinary perspectives – and existing gaps in the literature, and by suggesting areas for future research.","2016-08-08","2018-11-27 16:11:24","2018-11-27 16:11:24","2018-11-27 16:11:24","960-978","","7","23","","","International bureaucracies and their influence on policy-making","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/ILIQEZIL/Eckhard and Ege - 2016 - International bureaucracies and their influence on.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/CVHNE4HM/13501763.2016.html","","","Global governance; international civil servants; international organizations; literature review; public administration; public policy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RWRJHN8J","journalArticle","2015","Klüver, Heike; Braun, Caelesta; Beyers, Jan","Legislative lobbying in context: towards a conceptual framework of interest group lobbying in the European Union","Journal of European Public Policy","","1350-1763","10.1080/13501763.2015.1008792","https://doi.org/10.1080/13501763.2015.1008792","We outline a conceptual framework that identifies and characterizes the contextual nature of interest group politics in the European Union (EU) to better understand variation in interest group mobilization, lobbying strategies and interest group influence. We focus on two sets of contextual factors that affect EU interest group lobbying. First, we argue that interest group activities are shaped by several policy-related factors, namely the complexity, the policy type, the status quo, the salience and the degree of conflict characterizing legislative proposals and the associated issues. Second, we posit that lobbying in the EU is affected by institutional factors that vary within the EU political system, such as the institutional fragmentation within the European Commission and the European Parliament and across different national political systems depending on the patterns of interest intermediation or the vertical and horizontal distribution of powers. Finally, we theorize about the interrelationship between contextual features and interest group properties and summarize the findings of the collection.","2015-04-21","2018-11-27 16:12:12","2018-11-27 16:12:12","2018-11-27 16:12:12","447-461","","4","22","","","Legislative lobbying in context","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/4LM6MWKP/Klüver et al. - 2015 - Legislative lobbying in context towards a concept.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/NKIBWZIK/13501763.2015.html","","","Context; European Union; interest groups; lobbying","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J9Y63JRE","journalArticle","2017","Baumgartner, Frank R.; Carammia, Marcello; Epp, Derek A.; Noble, Ben; Rey, Beatriz; Yildirim, Tevfik Murat","Budgetary change in authoritarian and democratic regimes","Journal of European Public Policy","","1350-1763","10.1080/13501763.2017.1296482","https://doi.org/10.1080/13501763.2017.1296482","We compare patterns of change in budgetary commitments by countries during periods of democracy and authoritarianism. Previous scholarship has focused almost exclusively on democratic governments, finding evidence of punctuated equilibria. Authoritarian regimes may behave differently, both because they may operate with fewer institutional barriers to choice and because they have fewer incentives to gather and respond to policy-relevant information coming from civil society. By analysing public budgeting in Brazil, Turkey, Malta and Russia before and after their transitions from or to democracy, we can test punctuated equilibrium theory under a variety of governing conditions. Our goal is to advance the understanding of the causes of budgetary instability by leveraging contextual circumstances to push the theory beyond democracies and assess its broader applicability.","2017-06-17","2018-11-27 16:14:52","2018-11-27 16:14:52","2018-11-27 16:14:52","792-808","","6","24","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/8US6Y8YY/Baumgartner et al. - 2017 - Budgetary change in authoritarian and democratic r.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/DCLCUZ3S/13501763.2017.html","","","Authoritarianism; budgeting; democracy; public policy; punctuated equilibrium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I43AYSNR","journalArticle","2018","Christensen, Johan; Yesilkagit, Kutsal","International public administrations: a critique","Journal of European Public Policy","","1350-1763","10.1080/13501763.2018.1508245","https://doi.org/10.1080/13501763.2018.1508245","Recent decades have seen an expansion and proliferation of administrative bodies at the international level. An emerging literature on ‘international public administrations’ attempts to conceptualize and theorize these bodies, by applying a public administration perspective to international organizations. This essay critically examines how this literature addresses key issues relating to international administrative bodies: bureaucratic autonomy, administrative behavior and policy-making influence. It argues that existing theorizing suffers from two important weaknesses: concepts are poorly developed and not firmly rooted in public administration scholarship, and the literature pays insufficient attention to international administrations’ relationship with politics. The essay proposes an alternative theoretical framework for understanding international public administrations, centered on the notion of ‘public service bargains’. Drawing on this perspective, the essay indicates promising avenues for research on international administrations focusing on expertise, bureaucratic representation and multi-level public service bargains.","2018-08-17","2018-11-27 16:15:30","2018-11-27 16:15:30","2018-11-27 16:15:30","1-16","","0","0","","","International public administrations","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/GD4UKZR3/Christensen and Yesilkagit - 2018 - International public administrations a critique.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/T9C32JHL/13501763.2018.html","","","international bureaucracies; international organizations; International public administrations; political-administrative relationship; public service bargains","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2HKNSXB","journalArticle","2017","Mastenbroek, Ellen","Guardians of EU law? Analysing roles and behaviour of Dutch legislative drafters involved in EU compliance","Journal of European Public Policy","","1350-1763","10.1080/13501763.2017.1314537","https://doi.org/10.1080/13501763.2017.1314537","By drafting statutes and delegated acts, national legislative drafters play a crucial role in European Union (EU) compliance. Given their extensive legal training, they can be expected to operate as ‘guardians of EU law’ and thus correct national non-compliant tendencies. Yet, they also have a role as politically loyal civil servants, responsive to national political demands. This conntribution answers the question of to what extent Dutch legislative drafters fulfil a role of ‘guardian of EU law’. Using in-depth interviews, the paper analyses legislative drafters’ role conceptions and their strategies in case national political demands prove incompatible with EU legal requirements. It finds that most Dutch legislative drafters try to reconcile EU law with their ministers’ political demands, if necessary by reinterpreting EU law. When this proves unfeasible, most respondents prioritize political loyalty over EU legality. Ultimately, therefore, legislative drafters do not form an insurmountable normative factor in EU compliance.","2017-09-24","2018-11-27 16:16:46","2018-11-27 16:16:46","2018-11-27 16:16:46","1289-1307","","9","24","","","Guardians of EU law?","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/5FVALK8B/Mastenbroek - 2017 - Guardians of EU law Analysing roles and behaviour.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/HC7H5MGV/13501763.2017.html","","","Compliance; European Union; implementation; legislative drafters; role conflict; transposition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZH4227GP","journalArticle","2016","Knill, Christoph; Bauer, Michael W.","Policy-making by international public administrations: concepts, causes and consequences","Journal of European Public Policy","","1350-1763","10.1080/13501763.2016.1168979","https://doi.org/10.1080/13501763.2016.1168979","As the demand and necessity for greater international and transnational co-operation increase, the bureaucratic bodies of international organizations are receiving ever more scholarly attention. Yet, the relevance of international public administrations (IPAs) for global policy-making remains neither empirically nor theoretically well understood. A heuristic that links considerations of policy scope and policy type is provided to differentiate between the various aims and levels of potential IPA influence. Combining such a distinction with a taxonomy of administrative resources – namely, nodality, authority, treasure and organization – facilitates the development of concepts to systematically study patterns, constellations and conditions of IPA influence.","2016-08-08","2018-11-27 16:17:16","2018-11-27 16:17:16","2018-11-27 16:17:16","949-959","","7","23","","","Policy-making by international public administrations","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/92CSICNP/Knill and Bauer - 2016 - Policy-making by international public administrati.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/C2PTDESS/13501763.2016.html","","","Bureaucratic influence; global governance; international governmental organisations; international public administration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48ZB3APQ","journalArticle","2014","Jeffery, Charlie; Pamphilis, Niccole M.; Rowe, Carolyn; Turner, Ed","Regional policy variation in Germany: the diversity of living conditions in a ‘unitary federal state’","Journal of European Public Policy","","1350-1763","10.1080/13501763.2014.923022","https://doi.org/10.1080/13501763.2014.923022","The German federal system is conventionally understood as highly co-ordinated between federal and regional governments and aimed at producing a ‘uniformity’ of living conditions. This view has increasingly been challenged as new work focuses on innovation and diversity at the regional level, and also as a consequence of reforms to the federal system that took place in 2006. This contribution attempts to establish a more systematic basis for assessing and explaining the scope and significance of regional policy variation in Germany. Our findings suggest that – despite institutional structures that foster intense co-ordination between central and regional governments and apparent popular preferences for uniformity of policy outcomes – the extent of policy variation in Germany is much greater than conventionally understood and driven both by structural factors and partisan choices at the regional level.","2014-10-21","2018-11-27 16:18:20","2018-11-27 16:18:20","2018-11-27 16:18:20","1350-1366","","9","21","","","Regional policy variation in Germany","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/M7F6QZIE/Jeffery et al. - 2014 - Regional policy variation in Germany the diversit.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/37FYB9UK/13501763.2014.html","","","German federalism; policy variation; political parties","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EAAH95RU","journalArticle","2016","Bovens, Mark; Hart, Paul ‘t","Revisiting the study of policy failures","Journal of European Public Policy","","1350-1763","10.1080/13501763.2015.1127273","https://doi.org/10.1080/13501763.2015.1127273","The analysis of policy failures is, by definition, not a neutral endeavour, since policy fiascos are not neutral events. Moreover, they are often, usually implicitly, but sometimes explicitly, permeated with prosecutorial narratives, blame games and a search for culprits. Fiascos do not just ‘happen’. They are constructed, declared, and argued over in labelling processes that are not necessarily ‘evidence–based’. This presents a challenge for any academic endeavour to identify, analyse and explain policy fiascos. Against this backdrop, we assess the study of policy failure as it stands today, and offer some reflections for its further development.","2016-05-27","2018-11-27 16:24:03","2018-11-27 16:24:03","2018-11-27 16:24:03","653-666","","5","23","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/JD4U4VKA/Bovens and Hart - 2016 - Revisiting the study of policy failures.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/WDTDGUBS/13501763.2015.html","","","Policy evaluation; policy failure; policy fiasco; policy success","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L3KLMN7L","journalArticle","2014","Jensen, Mads Dagnis; Koop, Christel; Tatham, Michaël","Coping with power dispersion? Autonomy, co-ordination and control in multilevel systems","Journal of European Public Policy","","1350-1763","10.1080/13501763.2014.922861","https://doi.org/10.1080/13501763.2014.922861","The last decades have witnessed a significant shift in policy competences away from central governments in Europe. The reallocation of competences spans over three dimensions: upwards; sideways; and downwards. This collection takes the dispersion of powers as a starting point and seeks to assess how the actors involved cope with the new configurations. In this introduction, we discuss the conceptualization of power dispersion and highlight the ways in which the contributions add to this research agenda. We then outline some general conclusions and end by indicating future avenues of research. Taken together, the collection contributes some answers to the challenge of defining and measuring – in a comparative way – the control and co-ordination mechanisms which power dispersion generates. It also explores the tension between political actors' quest for autonomy and the acknowledgement of their interdependence whilst revealing how, as power dispersion deepens, central governments have sought to both manage and limit it.","2014-10-21","2018-11-27 16:24:41","2018-11-27 16:24:41","2018-11-27 16:24:41","1237-1254","","9","21","","","Coping with power dispersion?","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/MWSK6ALH/Jensen et al. - 2014 - Coping with power dispersion Autonomy, co-ordinat.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/FARM5X9Y/13501763.2014.html","","","Autonomy; co-ordination; control; interdependence; policy-making; power dispersion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PPECCGUX","journalArticle","2015","Warleigh-Lack, Alex","Differentiated integration in the European Union: towards a comparative regionalism perspective","Journal of European Public Policy","","1350-1763","10.1080/13501763.2015.1020837","https://doi.org/10.1080/13501763.2015.1020837","In this contribution I examine three regions outside Europe, all of which have used forms of differentiated integration as a means to solve otherwise intractable problems and/or export their policy preferences, ideals and bargains to key external actors. I argue that if we examine the European Union (EU) as one case of regional integration/regionalism among many, rather than a unique entity, we can develop a more nuanced view of differentiated integration in the EU which accepts it as an enduring, and possibly permanent, feature of the EU.","2015-07-03","2018-11-27 16:25:03","2018-11-27 16:25:03","2018-11-27 16:25:03","871-887","","6","22","","","Differentiated integration in the European Union","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/8LYE3NST/Warleigh-Lack - 2015 - Differentiated integration in the European Union .pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/6CYXQTMJ/13501763.2015.html","","","APEC; ASEAN; comparative regionalism; differentiated integration; European Union; NAFTA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X89WHW5H","journalArticle","2015","Featherstone, Kevin","External conditionality and the debt crisis: the ‘Troika’ and public administration reform in Greece","Journal of European Public Policy","","1350-1763","10.1080/13501763.2014.955123","https://doi.org/10.1080/13501763.2014.955123","Levering domestic reform via external conditionality has become crucial to the rescues of European Union member states in the context of the eurozone crisis. This article examines a critical case – Greece – and a problematic sector – reform of the central state administration – to assess the applicability of three hypotheses advanced by Schimmelfennig and Sedelmeier. New data on the trends in reform activity before and during Greece's debt crisis are assessed, as well as their content and paradigmatic frames, to assess the extent of a break with the inherited domestic model. They highlight the contrast between aggregate activity and the substance of reform in sensitive areas. They attribute reform failures to the crafting of the conditionality strategy and to conflicting interests, administrative traditions and cultural norms. The case highlights key challenges for the EU in its handling of the diversity of administrative systems across the eurozone, an agenda neglected at Maastricht.","2015-03-16","2018-11-27 16:26:04","2018-11-27 16:26:04","2018-11-27 16:26:04","295-314","","3","22","","","External conditionality and the debt crisis","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/ZSTNSQYN/Featherstone - 2015 - External conditionality and the debt crisis the ‘.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/XFNKJRYL/13501763.2014.html","","","Administrative reform; conditionality; debt crisis; Greece","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6Q8NE9AH","journalArticle","2014","Callanan, Mark; Tatham, Michaël","Territorial interest representation in the European Union: actors, objectives and strategies","Journal of European Public Policy","","1350-1763","10.1080/13501763.2013.829579","https://doi.org/10.1080/13501763.2013.829579","When studying the ever increasing mobilization of territorial authorities in the EU context, the literature has used the term ‘subnational’ as shorthand for very different actors, with the most typical distinction made between regional and local government. In this article we propose an alternative dichotomy. We suggest that ‘stronger’ regions actually share much in common with ‘stronger’ associations of local governments, while ‘weaker’ regions exhibit a number of similarities with ‘weaker’ associations and individual local authorities. We illustrate our findings using evidence gathered from a survey of 103 regional offices in Brussels as well as interview data of 149 officials working in five different European countries. We draw on existing research in this field, as well as our own data, to take stock of key understandings around territorial interest representation and present a series of propositions concerning (1) the objectives of subnational actors, distinguishing financial from regulatory mobilization, and (2) the strategies and representation channels used by these authorities.","2014-02-07","2018-11-27 16:26:37","2018-11-27 16:26:37","2018-11-27 16:26:37","188-210","","2","21","","","Territorial interest representation in the European Union","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/S3CGVGZ7/Callanan and Tatham - 2014 - Territorial interest representation in the Europea.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/5X3AR3K8/13501763.2013.html","","","European Union; interest representation; local government; multi-level governance; regions; subnational mobilization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
